run_id,seed,profile,scenario,model,identity_continuity,lure_capture,recovery_latency_s,selection_switches
347_ground_creature_matched_adversarial_identity,347,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
347_ground_creature_matched_adversarial_identity,347,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
347_virtual_avatar_matched_adversarial_identity,347,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
347_virtual_avatar_matched_adversarial_identity,347,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
347_wheeled_robot_matched_adversarial_identity,347,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
347_wheeled_robot_matched_adversarial_identity,347,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
348_drone_matched_adversarial_identity,348,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,10
348_drone_matched_adversarial_identity,348,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
348_ground_creature_matched_adversarial_identity,348,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
348_ground_creature_matched_adversarial_identity,348,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
348_virtual_avatar_matched_adversarial_identity,348,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
348_virtual_avatar_matched_adversarial_identity,348,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
348_wheeled_robot_matched_adversarial_identity,348,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
348_wheeled_robot_matched_adversarial_identity,348,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
349_drone_matched_adversarial_identity,349,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,8
349_drone_matched_adversarial_identity,349,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
349_ground_creature_matched_adversarial_identity,349,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
349_ground_creature_matched_adversarial_identity,349,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
349_virtual_avatar_matched_adversarial_identity,349,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
349_virtual_avatar_matched_adversarial_identity,349,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
349_wheeled_robot_matched_adversarial_identity,349,wheeled_robot,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,2
349_wheeled_robot_matched_adversarial_identity,349,wheeled_robot,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
350_drone_matched_adversarial_identity,350,drone,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,10
350_drone_matched_adversarial_identity,350,drone,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
350_ground_creature_matched_adversarial_identity,350,ground_creature,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
350_ground_creature_matched_adversarial_identity,350,ground_creature,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
350_virtual_avatar_matched_adversarial_identity,350,virtual_avatar,matched_adversarial_identity,generic_recurrent_filter,1.0,0.0,0.0,0
350_virtual_avatar_matched_adversarial_identity,350,virtual_avatar,matched_adversarial_identity,appearance_continuity_sanity,0.0,0.0,,2
