protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy
7.0-p2,drone,progressive_history_reset,262,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95281317725628,0.61545882031006,0.33735435694622,2,5,0.0,0.98214285714286,0.79217722305893,0.8406471010466
7.0-p2,drone,progressive_no_persistent_self,262,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95353854838956,0.61912455129337,0.33441399709619,1,2,1.0,0.99404761904762,0.26012967965154,0.0
7.0-p2,virtual_avatar,progressive_persistent,262,0-1-2-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.9480122341381,0.61297291177912,0.33503932235897,2,4,0.0,0.98809523809524,0.49666305201641,0.34722222222222
7.0-p2,virtual_avatar,final_from_start,262,3-3-3-3,3,4,3,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.9476454108055,0.61312816733026,0.33451724347523,2,4,0.0,0.98809523809524,0.49660040255036,0.34722222222222
7.0-p2,virtual_avatar,reverse_curriculum,262,2-1-0-3,3,4,0,0.77777777777778,0.26666666666667,1.06666666666667,2.0,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.9182314774881,0.60597357113243,0.31225790635566,2,3,1.0,0.99404761904762,0.78916564898806,0.8406471010466
7.0-p2,virtual_avatar,random_curriculum,262,0-1-2-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94853153098241,0.6129783486711,0.3355531823113,2,4,0.0,0.98809523809524,0.49672471521069,0.34722222222222
7.0-p2,virtual_avatar,progressive_history_reset,262,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95417702532017,0.61651099590432,0.33766602941585,2,5,0.0,0.98214285714286,0.79221462375528,0.8406471010466
7.0-p2,virtual_avatar,progressive_no_persistent_self,262,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95390896442431,0.62162104829767,0.33228791612664,1,3,0.0,0.98809523809524,0.2598745499352,0.0
7.0-p2,ground_creature,progressive_persistent,263,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94618803475211,0.56802281956703,0.37816521518508,2,3,0.0,0.99404761904762,0.46850482582221,0.30555555555556
7.0-p2,ground_creature,final_from_start,263,3-3-3-3,3,4,3,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.19444444444444,0.0,7.2,0.16666666666667,14,1.0,0.94603860702464,0.56696982741635,0.37906877960829,2,3,0.0,0.99404761904762,0.46861325355299,0.30555555555556
