protocol_version,profile,condition,seed,schedule,training_transition_count,matched_change_point_events,sham_change_point_events,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,training_transition_identity_switches,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_identity_switches,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score_v2,identity_continuity_score_legacy,confirmatory_release,phase
7.0-p2,ground_creature,progressive_no_persistent_self,281,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,0.98611111111111,0.91172135790212,0.62219738681091,0.28952397109121,1,3,0.0,0.99404761904762,0.25474287653095,0.0,7.0-r1,heldout
7.0-p2,ground_creature,progressive_history_reset,281,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,0.98611111111111,0.921440042405,0.60794211859455,0.31349792381046,2,5,0.0,0.98214285714286,0.78931445108263,0.8406471010466,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_persistent,281,0-1-2-3,3,4,0,0.61904761904762,0.26666666666667,1.86666666666667,3.66666666666667,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94833774930948,0.61553591944913,0.33280182986035,2,3,0.0,0.99404761904762,0.49639455291658,0.34722222222222,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_no_persistent_self,281,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95443971270822,0.62131914111719,0.33312057159104,1,2,1.0,0.99404761904762,0.25997446859092,0.0,7.0-r1,heldout
7.0-p2,wheeled_robot,progressive_history_reset,281,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95453920041427,0.61676840573595,0.33777079467832,2,5,0.0,0.98214285714286,0.79222719558678,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_persistent,281,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95531909895995,0.61708562349655,0.3382334754634,2,3,1.0,0.99404761904762,0.79228271728099,0.8406471010466,7.0-r1,heldout
7.0-p2,drone,progressive_no_persistent_self,281,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95425939005024,0.62056807906112,0.33369131098913,1,3,1.0,0.98809523809524,0.2600429573187,0.0,7.0-r1,heldout
7.0-p2,drone,progressive_history_reset,281,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95433130944354,0.61635263414542,0.33797867529811,2,5,0.0,0.98214285714286,0.79225214126115,0.8406471010466,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_persistent,281,0-1-2-3,3,4,0,0.71428571428571,0.4,1.33333333333333,2.33333333333333,1.0,0.19444444444444,0.0,7.2,0.0,14,1.0,0.94295544950669,0.61358701016539,0.32936843934131,2,5,0.0,0.98214285714286,0.49598254605429,0.34722222222222,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_no_persistent_self,281,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95463185760475,0.62304765640455,0.33158420120021,1,3,0.0,0.98809523809524,0.25979010414402,0.0,7.0-r1,heldout
7.0-p2,virtual_avatar,progressive_history_reset,281,0-1-2-3,3,4,0,0.0,0.0,4.2,0.0,0.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95477690385524,0.61735764472071,0.33741925913453,2,5,0.0,0.98214285714286,0.79218501132152,0.8406471010466,7.0-r1,heldout
7.0-p2,ground_creature,progressive_persistent,282,0-1-2-3,3,4,0,0.68253968253968,0.13333333333333,1.6,3.33333333333333,1.0,0.88888888888889,1.0,0.8,0.16666666666667,1,1.0,0.95905232295741,0.62045480985849,0.33859751309891,2,3,1.0,1.0,0.79232640179725,0.8406471010466,7.0-r1,heldout
7.0-p2,ground_creature,progressive_no_persistent_self,282,0-1-2-3,3,4,0,0.0,1.0,4.2,0.0,0.0,0.0,0.0,7.2,1.0,0,1.0,0.95482289508989,0.62215505966059,0.3326678354293,1,2,1.0,0.99404761904762,0.25992014025152,0.0,7.0-r1,heldout
