protocol_version,profile,condition,seed,schedule,training_transition_count,training_transition_retention,training_transition_lure_error,training_transition_recovery_latency,stage_identity_chain_score,final_identity_retention,final_identity_recovered,final_identity_recovery_latency,final_old_signature_clone_capture,final_self_role_accuracy,final_self_posterior,final_clone_self_posterior,final_self_posterior_margin,final_identity_fragmentation,whole_run_self_fragmentation,initial_identity_retained_at_end,self_role_accuracy_all_stages,identity_continuity_score
7.0-p1,ground_creature,progressive_persistent,260,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99455464636771,0.04125068417458,0.95330396219313,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,final_from_start,260,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.99455947221269,0.18010061026564,0.81445886194705,1,3,1.0,1.0,0.0
7.0-p1,ground_creature,reverse_curriculum,260,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99474943126282,0.04134710534738,0.95340232591544,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,random_curriculum,260,3-1-0-2,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99466877376941,0.04122770830859,0.95344106546082,1,1,1.0,1.0,1.0
7.0-p1,ground_creature,progressive_history_reset,260,0-1-2-3,3,0.0,1.0,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.96115059264671,0.05534814250658,0.90580245014013,1,2,0.0,1.0,1.0
7.0-p1,ground_creature,progressive_no_persistent_self,260,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,0.984375,0.95822432204229,0.18068116510057,0.77754315694172,1,3,1.0,0.99479166666667,0.0
7.0-p1,wheeled_robot,progressive_persistent,260,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99394475206472,0.04128716542375,0.95265758664097,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,final_from_start,260,3-3-3-3,0,1.0,0.0,0.0,0.0,0.0,0.0,6.4,1.0,1.0,0.99400651354072,0.17937200985047,0.81463450369025,1,3,1.0,1.0,0.0
7.0-p1,wheeled_robot,reverse_curriculum,260,3-2-1-0,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99421814350627,0.04134650476418,0.95287163874209,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,random_curriculum,260,3-1-0-2,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99405503656465,0.0414652761577,0.95258976040695,1,1,1.0,1.0,1.0
7.0-p1,wheeled_robot,progressive_history_reset,260,0-1-2-3,3,0.0,0.0,4.8,0.0,1.0,1.0,0.0,0.0,1.0,0.95983563936407,0.05563919801287,0.90419644135119,1,3,0.0,1.0,1.0
7.0-p1,wheeled_robot,progressive_no_persistent_self,260,0-1-2-3,3,0.0,1.0,4.8,0.0,0.0,0.0,6.4,1.0,0.984375,0.95652595171463,0.17906675851398,0.77745919320065,1,3,1.0,0.99479166666667,0.0
7.0-p1,drone,progressive_persistent,260,0-1-2-3,3,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.99288136367104,0.04010166029929,0.95277970337175,1,1,1.0,1.0,1.0
